번호,이름,별칭,타입,총합,HP,공격력,방어력,특별공격력,특별방어력,속도
1,이상해씨,,GRASS,318,45,49,49,65,65,45
2,이상해풀,,GRASS,405,60,62,63,80,80,60
3,이상해꽃,,GRASS,525,80,82,83,100,100,80
3,이상해꽃,Mega Venusaur,GRASS,625,80,100,123,122,120,80
4,파이리,,FIRE,309,39,52,43,60,50,65
5,리자드,,FIRE,405,58,64,58,80,65,80
6,리자몽,,FIRE,534,78,84,78,109,85,100
6,리자몽,Mega Charizard X,FIRE,634,78,130,111,130,85,100
6,리자몽,Mega Charizard Y,FIRE,634,78,104,78,159,115,100
7,꼬부기,,WATER,314,44,48,65,50,64,43
8,어니부기,,WATER,405,59,63,80,65,80,58
9,거북왕,,WATER,530,79,83,100,85,105,78
9,거북왕,Mega Blastoise,WATER,630,79,103,120,135,115,78
10,캐터피,,BUG,195,45,30,35,20,20,45
11,단데기,,BUG,205,50,20,55,25,25,30
12,버터플,,BUG,395,60,45,50,90,80,70
13,뿔충이,,BUG,195,40,35,30,20,20,50
14,딱충이,,BUG,205,45,25,50,25,25,35
15,독침붕,,BUG,395,65,90,40,45,80,75
15,독침붕,Mega Beedrill,BUG,495,65,150,40,15,80,145
16,구구,,NORMAL,251,40,45,40,35,35,56
17,피죤,,NORMAL,349,63,60,55,50,50,71
18,피죤투,,NORMAL,479,83,80,75,70,70,101
18,피죤투,Mega Pidgeot,NORMAL,579,83,80,80,135,80,121
19,꼬렛,,NORMAL,253,30,56,35,25,35,72
19,꼬렛,Alolan Rattata,DARK,253,30,56,35,25,35,72
20,레트라,,NORMAL,413,55,81,60,50,70,97
20,레트라,Alolan Raticate,DARK,413,75,71,70,40,80,77
21,깨비참,,NORMAL,262,40,60,30,31,31,70
22,깨비드릴조,,NORMAL,442,65,90,65,61,61,100
23,아보,,POISON,288,35,60,44,40,54,55
24,아보크,,POISON,448,60,95,69,65,79,80
25,피카츄,,ELECTRIC,320,35,55,40,50,50,90
25,피카츄,Partner Pikachu,ELECTRIC,430,45,80,50,75,60,120
26,라이츄,,ELECTRIC,485,60,90,55,90,80,110
26,라이츄,Alolan Raichu,ELECTRIC,485,60,85,50,95,85,110
27,모래두지,,GROUND,300,50,75,85,20,30,40
27,모래두지,Alolan Sandshrew,ICE,300,50,75,90,10,35,40
28,고지,,GROUND,450,75,100,110,45,55,65
28,고지,Alolan Sandslash,ICE,450,75,100,120,25,65,65
29,니드런수,,POISON,275,55,47,52,40,40,41
30,니드리나,,POISON,365,70,62,67,55,55,56
31,니드퀸,,POISON,505,90,92,87,75,85,76
32,니드런암,,POISON,273,46,57,40,40,40,50
33,니드리노,,POISON,365,61,72,57,55,55,65
34,니드킹,,POISON,505,81,102,77,85,75,85
35,삐삐,,FAIRY,323,70,45,48,60,65,35
36,픽시,,FAIRY,483,95,70,73,95,90,60
37,식스테일,,FIRE,299,38,41,40,50,65,65
37,식스테일,Alolan Vulpix,ICE,299,38,41,40,50,65,65
38,나인테일,,FIRE,505,73,76,75,81,100,100
38,나인테일,Alolan Ninetales,ICE,505,73,67,75,81,100,109
39,푸린,,NORMAL,270,115,45,20,45,25,20
40,푸크린,,NORMAL,435,140,70,45,85,50,45
41,주뱃,,POISON,245,40,45,35,30,40,55
42,골뱃,,POISON,455,75,80,70,65,75,90
43,뚜벅쵸,,GRASS,320,45,50,55,75,65,30
44,냄새꼬,,GRASS,395,60,65,70,85,75,40
45,라플레시아,,GRASS,490,75,80,85,110,90,50
46,파라스,,BUG,285,35,70,55,45,55,25
47,파라섹트,,BUG,405,60,95,80,60,80,30
48,콘팡,,BUG,305,60,55,50,40,55,45
49,도나리,,BUG,450,70,65,60,90,75,90
50,디그다,,GROUND,265,10,55,25,35,45,95
50,디그다,Alolan Diglett,GROUND,265,10,55,30,35,45,90
51,닥트리오,,GROUND,425,35,100,50,50,70,120
51,닥트리오,Alolan Dugtrio,GROUND,425,35,100,60,50,70,110
52,나옹,,NORMAL,290,40,45,35,40,40,90
52,나옹,Alolan Meowth,DARK,290,40,35,35,50,40,90
52,나옹,Galarian Meowth,STEEL,290,50,65,55,40,40,40
53,페르시온,,NORMAL,440,65,70,60,65,65,115
53,페르시온,Alolan Persian,DARK,440,65,60,60,75,65,115
54,고라파덕,,WATER,320,50,52,48,65,50,55
55,골덕,,WATER,500,80,82,78,95,80,85
56,망키,,FIGHTING,305,40,80,35,35,45,70
57,성원숭,,FIGHTING,455,65,105,60,60,70,95
58,가디,,FIRE,350,55,70,45,70,50,60
59,윈디,,FIRE,555,90,110,80,100,80,95
60,발챙이,,WATER,300,40,50,40,40,40,90
61,슈륙챙이,,WATER,385,65,65,65,50,50,90
62,강챙이,,WATER,510,90,95,95,70,90,70
63,캐이시,,PSYCHIC,310,25,20,15,105,55,90
64,윤겔라,,PSYCHIC,400,40,35,30,120,70,105
65,후딘,,PSYCHIC,500,55,50,45,135,95,120
